,key,value
0,humentor,1
106,transformation,1
107,calm,1
108,energy,1
109,ironmonger,1
110,expert,1
111,senior,1
112,communication,1
105,freelance,1
113,transformer,1
116,haha,1
117,need,1
119,futuregazer,1
121,digital,1
122,educator,1
123,problem,1
124,identifier,1
115,builder,1
125,stakeholder,1
104,crafter,1
100,hire,1
167,allegiance,1
85,sustainable,1
86,disaster,1
87,recovery,1
88,life,1
89,curate,1
90,software,1
103,leisure,1
91,environment,1
93,client,1
94,motivation,1
95,ecosystems,1
96,service,1
97,interactions,1
98,social,1
99,vm,1
92,align,1
83,behavior,1
126,key,1
129,vision,1
151,wise,1
152,mess,1
153,want,1
154,understand,1
155,standardized,1
156,head,1
157,call,1
150,oh,1
158,chief,1
160,sr,1
161,principal,1
162,2021,1
163,definition,1
164,industry,1
165,research,1
166,insight,1
159,vp,1
128,wander,1
149,whisperer,1
147,organiser,1
130,gastronomy,1
131,legal,1
132,supervisor,1
133,forward,1
134,community,1
135,possibility,1
136,tracker,1
148,robot,1
137,librarian,1
139,anarchist,1
140,implementor,1
141,general,1
142,technologist,1
143,executive,1
144,student,1
146,advocate,1
138,pm,1
79,world,1
84,moderator,1
41,ecosystem,1
46,creator,1
45,systems,1
43,sure,1
78,part,1
40,guide,1
39,growth,1
37,well-bee,1
36,assistant,1
35,customiser,1
33,culture,1
32,leadership,1
30,support,1
29,customer,1
47,network,1
28,advisor,1
25,nil,1
24,behavioural,1
23,creative,1
19,interface,1
17,sensor,1
16,officer,1
15,efficiency,1
14,productivity,1
13,clone,1
12,liberator,1
5,datum,1
2,climate,1
1,human-mentor,1
27,obsolete,1
51,strategic,1
168,partner,1
62,medical,1
76,lack,1
61,clinical,1
66,professor,1
60,navigator,1
67,development,1
59,teacher,1
63,tech,1
56,telepathist,1
57,system,1
55,behaviour,1
70,data,1
71,remote,1
72,trainer,1
73,inventor,1
74,bridger,1
75,bridge,1
64,knowledge,1
20,ai,2
145,youth,2
8,specialist,2
69,metaverse,2
68,engineer,2
52,risk,2
65,guardian,2
21,people,2
50,future,2
34,futurist,2
49,connector,2
114,solution,2
48,reality,2
81,ux,2
82,researcher,2
118,title,2
7,information,2
120,coach,2
58,enabler,2
127,facilitator,2
77,well,2
102,director,2
101,integrator,2
3,change,2
10,crisis,2
4,analyst,3
9,product,3
26,work,3
42,strategist,3
53,management,3
11,coordinator,3
80,resource,3
18,design,4
38,experience,4
22,architect,5
44,human,5
54,consultant,5
6,manager,7
31,designer,16
