,key,value
0,co-facilitator,1
485,window,1
486,situate,1
487,mountain,1
488,sustainably,1
489,bungalow,1
491,suck,1
492,figure,1
484,ceiling,1
493,stop,1
495,amazing,1
499,earth,1
501,multi,1
502,ah,1
504,estate,1
505,environmentally,1
506,conscious,1
494,collapse,1
483,floor,1
482,daylight,1
480,comfortably,1
460,scan,1
461,track,1
462,data,1
463,source,1
464,develop,1
465,narrative,1
466,calm,1
467,anxiety,1
469,green,1
470,energy,1
472,siphon,1
473,activity,1
474,late,1
475,call,1
477,transformation,1
478,wow,1
479,cool,1
512,e.g.,1
513,borneo,1
514,amazon,1
515,rainforest/,1
543,cycling,1
544,breakfast,1
545,suddenly,1
546,sky,1
548,rain,1
549,heavily,1
550,case,1
551,prepare,1
553,stakeholder,1
554,principle,1
555,equity,1
556,equality,1
557,apply,1
558,structure,1
559,solitude,1
560,surround,1
561,projected,1
542,morning,1
456,false,1
541,normal,1
539,connection,1
516,antartica,1
518,cog,1
519,basically,1
520,efficient,1
522,write,1
524,comfort,1
526,simple,1
527,control,1
528,brain,1
529,99,1
531,intervention,1
532,follow,1
533,regulation,1
534,foreign,1
535,familiar,1
536,immerse,1
537,isolating,1
540,necessary,1
562,architecture,1
455,true,1
452,immediately,1
371,frequent,1
372,localised,1
373,collaborative,1
748,introduce,1
375,desk,1
376,focus,1
377,chip,1
370,catastrophe,1
378,transport,1
380,greenland,1
384,task,1
387,warming,1
388,probable,1
389,extinction,1
390,chionophiles,1
391,test,1
379,arctic,1
367,assimilate,1
365,mitigate,1
364,regularly,1
339,vibrant,1
340,stable,1
343,exploit,1
344,moderate,1
345,behavior,1
346,akin,1
347,law,1
348,enforcement,1
349,leverage,1
353,buddy,1
354,phone,1
356,physical,1
358,sustainability,1
359,recovery,1
360,management,1
361,sea,1
363,rise,1
394,respond,1
395,verbal,1
396,instruction,1
397,interaction,1
429,care,1
430,old,1
431,stay,1
432,isolate,1
434,alive,1
436,standard,1
437,healthcare,1
438,autonomy,1
440,manual,1
441,calculation,1
443,share,1
444,execute,1
445,aware,1
446,situation,1
449,process,1
450,powerful,1
451,filter,1
428,take,1
454,know,1
427,arrangement,1
423,timeline,1
398,entire,1
401,multi-tasking,1
404,consultant,1
405,listen,1
407,centre,1
408,influence,1
409,hire,1
410,multiple,1
412,retain,1
413,ar,1
414,platform,1
415,holographic,1
416,speech,1
417,movement,1
418,require,1
421,software,1
422,efficiently,1
425,fun,1
563,creative,1
565,inspiration,1
566,little,1
682,distribution,1
684,request,1
685,complaint,1
686,streaminghow,1
687,everyday,1
688,somebody,1
689,sense,1
681,policy,1
690,group,1
693,constraint,1
694,coopt,1
695,attention,1
696,promise,1
698,define,1
700,contribute,1
701,measurable,1
692,limited,1
679,invest,1
676,triage,1
675,urgent,1
658,age,1
659,population,1
660,advancement,1
661,great,1
662,animal,1
663,evening,1
664,timezone,1
665,family,1
666,spending,1
667,leisure,1
668,watch,1
669,tv,1
670,context,1
671,secure,1
672,compassionate,1
673,increasingly,1
674,scarce,1
702,satisfaction,1
703,positive,1
704,affect,1
705,civic,1
728,recycle,1
730,open-source,1
731,dead,1
732,abandon,1
733,code,1
734,independent,1
735,waste,1
736,infrastructure,1
738,corporate,1
739,decrease,1
740,minimum,1
741,wage,1
742,job,1
743,replace,1
744,industry,1
745,blue,1
746,collar,1
727,scrounge,1
657,demand,1
726,ground-up,1
724,increase,1
706,guerilla,1
707,robin,1
708,hood-style,1
709,spring,1
710,nimbleness,1
711,speedily,1
712,break,1
713,fix,1
714,belief,1
715,vital,1
716,keen,1
717,partnership,1
718,open,1
719,quietly,1
720,experimentally,1
721,pattern,1
723,hope,1
725,frugal,1
656,join,1
654,lose,1
653,political,1
588,researcher,1
589,walk,1
590,chat,1
591,augment,1
592,reality,1
593,create,1
594,instantly,1
595,fully,1
596,functioning,1
597,happy,1
598,tracker,1
599,lie,1
600,facilitate,1
601,session,1
603,limit,1
605,channel,1
606,far,1
587,friendly,1
607,advance,1
586,info,1
584,repair,1
567,cabin,1
568,locate,1
569,wood,1
570,remain,1
571,connected,1
572,rest,1
573,supervise,1
574,automate,1
575,legal,1
576,advice,1
577,stand,1
578,wide,1
579,measurement,1
580,flow,1
581,race,1
582,overwhelmed,1
583,overloaded,1
585,fragment,1
335,outfield,1
608,sophisticated,1
611,primarily,1
635,say,1
636,loud,1
637,motivate,1
638,self-interest,1
639,general,1
640,distrust,1
641,close,1
642,technologically,1
643,savvy,1
644,utilise,1
645,gadget,1
646,enhance,1
647,efficiency,1
649,young,1
650,singapore,1
651,possibly,1
652,involved,1
634,manager,1
609,current,1
633,shade,1
630,disappear,1
612,negotiate,1
613,overwork,1
614,refute,1
615,course,1
616,talent,1
617,tired,1
618,outside,1
620,park,1
621,enter,1
622,note,1
623,simply,1
624,left,1
625,word,1
626,think,1
627,tell,1
628,goodbye,1
629,flick,1
632,sunglass,1
332,assignment,1
374,seat,1
749,shortage,1
89,recommendation,1
238,future,1
237,today,1
90,nudge,1
92,desire,1
93,direction,1
233,relax,1
96,obsolete,1
232,countryside,1
229,agreement,1
102,tracking,1
228,collective,1
227,enact,1
226,crowdsource,1
224,gov,1
223,city,1
104,prompt,1
221,network,1
220,gesture,1
106,breakast,1
107,suggest,1
240,chart,1
241,forward,1
242,humanity,1
243,forge,1
260,scenario,1
77,set,1
78,peoplr,1
258,play,1
79,success,1
257,inhabiting,1
256,loss,1
255,biodiversity,1
254,reduce,1
164,report,1
217,headset,1
253,money,1
250,quantum,1
82,review,1
249,harness,1
83,relevant,1
247,undertake,1
84,flag,1
86,fine,1
87,tuning,1
245,information,1
244,ahead,1
252,specie,1
261,base,1
108,list,1
215,comfy,1
135,free,1
145,strategy,1
146,basic,1
148,upstream,1
149,downstream,1
150,mental,1
151,health,1
154,300000,1
179,distribute,1
155,mile,1
177,skill,1
156,away,1
176,specific,1
174,snd,1
173,attitude,1
158,planet,1
171,adult,1
160,pain,1
162,shape,1
168,concurrently,1
163,directly,1
134,risk,1
193,recognisable,1
194,kind,1
132,grow,1
214,sleek,1
213,wear,1
212,react,1
116,sustainable,1
210,augmented,1
117,common,1
120,trace,1
121,path,1
208,convenience,1
206,achieve,1
110,past,1
205,co-worker,1
204,fellow,1
202,speak,1
128,choice,1
201,planning,1
200,term,1
129,leader,1
199,long,1
198,short,1
197,mix,1
196,solving,1
126,simulate,1
262,infinitesimal,1
81,sift,1
165,oversee,1
42,hear,1
19,year,1
298,pod,1
18,month,1
47,automatically,1
297,proof,1
16,bad,1
48,categorise,1
295,fancy,1
49,summarise,1
293,involve,1
15,wrong,1
50,exchange,1
322,sterile,1
292,child,1
323,client,1
324,disabled,1
263,variable,1
299,attendee,1
300,ephemeral,1
36,content,1
27,stem,1
313,forefront,1
312,bear,1
317,humanitarian,1
311,civilian,1
29,fake,1
22,move,1
318,effective,1
13,incremental,1
21,catastrophic,1
308,disparity,1
319,tough,1
307,food,1
306,water,1
32,vitriol,1
34,chair,1
303,travel,1
302,keyboard,1
309,status,1
289,app,1
291,nature,1
326,make,1
288,web,1
275,extract,1
3,highly,1
61,engineer,1
2,counterpart,1
330,lower-functuoning,1
64,motivating,1
272,personalised,1
65,bot,1
70,orient,1
270,polarise,1
71,purpose,1
269,sls,1
72,empower,1
267,collect,1
266,experiment,1
265,conduct,1
264,lab,1
73,profession,1
276,dna,1
277,profiling,1
315,volunteer,1
278,panel,1
285,optimal,1
6,journey,1
5,learning,1
58,despair,1
283,realm,1
286,layout,1
281,transcend,1
59,scientific,1
329,pwds,1
4,personalized,1
11,terrible,1
60,expert,1
279,analysis,1
53,deliberate,1
57,fall,1
737,member,2
157,country,2
133,quickly,2
722,provide,2
747,labor,2
137,designing,2
139,regulate,2
140,stressor,2
147,push,2
20,big,2
144,economic,2
142,result,2
74,collaborate,2
602,participant,2
101,eye,2
97,2100,2
52,quiet,2
54,step,2
91,behaviour,2
55,action,2
51,continue,2
88,implement,2
680,rule,2
648,assume,2
677,prioritise,2
655,interest,2
62,intelligence,2
80,designer,2
683,range,2
24,analyse,2
691,tackle,2
105,eat,2
28,tide,2
604,innovation,2
30,news,2
31,online,2
124,advanced,2
610,balance,2
631,press,2
122,point,2
115,well,2
619,bench,2
114,idea,2
109,place,2
44,head,2
699,ability,2
118,public,2
37,display,2
186,communication,2
447,start,2
481,workspace,2
403,education,2
287,mobile,2
222,govern,2
490,maybe,2
399,tap,2
290,protect,2
392,service,2
496,reverse,2
497,environmental,2
294,individualistic,2
498,damage,2
503,real,2
385,solve,2
383,location,2
509,aim,2
442,enjoy,2
230,allow,2
282,digital,2
231,participate,2
476,wave,2
564,research,2
448,article,2
439,assist,2
435,high,2
433,feel,2
457,grey,2
426,flexible,2
458,area,2
511,maintain,2
424,communicate,2
273,genetic,2
420,read,2
471,blood,2
236,seek,2
235,aid,2
419,machine,2
274,testing,2
280,command,2
246,field,2
209,monitor,2
510,study,2
188,mean,2
351,run,2
207,easy,2
187,collaboration,2
185,likely,2
350,activate,2
183,mode,2
182,present,2
181,type,2
352,personal,2
547,dark,2
325,capable,2
180,workforce,2
327,wonder,2
175,teach,2
342,harmony,2
337,go,2
336,see,2
334,natural,2
321,hard,2
189,probably,2
259,possible,2
190,lot,2
525,bed,2
304,face,2
305,clean,2
369,complete,2
523,thing,2
521,effort,2
366,role,2
191,transform,2
362,level,2
338,daily,3
381,colleague,3
39,air,3
382,stream,3
43,voice,3
12,effect,3
301,form,3
341,society,3
697,good,3
33,sit,3
46,interact,3
386,issue,3
729,exist,3
310,cause,3
411,build,3
17,day,3
284,appear,3
357,virtually,3
40,nt,3
333,observe,3
211,simulation,3
216,vr,3
219,hand,3
508,part,3
123,access,3
517,small,3
203,engage,3
131,learn,3
169,office,3
530,automation,3
111,week,3
234,connect,3
468,tool,3
112,give,3
538,struggle,3
331,currently,3
167,interface,3
184,engagement,3
152,talk,3
178,remote,3
8,citizen,4
500,organisation,4
507,able,4
552,meeting,4
41,thought,4
38,float,4
251,computer,4
355,instead,4
14,get,4
127,outcome,4
7,global,4
141,come,4
153,live,4
368,support,4
9,climate,4
100,decision,4
99,life,4
67,experience,4
459,quick,4
85,system,4
239,solution,4
268,understand,4
402,social,4
400,easily,4
453,let,4
393,robot,4
248,project,4
678,government,4
26,try,5
296,disaster,5
63,human,5
316,like,5
195,problem,5
113,new,5
271,view,5
314,company,5
69,community,5
218,virtual,5
170,home,5
320,time,5
159,find,5
136,environment,6
94,need,6
328,happen,6
406,resource,6
225,use,6
166,different,6
192,way,7
98,manage,7
103,device,7
161,product,7
119,space,7
172,mind,7
75,team,7
25,datum,7
138,look,8
130,metaverse,8
1,ai,8
125,technology,9
10,change,9
143,tech,10
35,screen,10
68,design,10
66,user,11
56,world,12
76,help,13
45,people,16
23,person,41
95,work,43
