,key,value
202,play,1
109,super,1
110,computer,1
179,means,1
112,race,1
113,imagination,1
114,magnet,1
115,mirror,1
116,smoke,1
117,circle,1
118,rpg,1
119,complexity,1
120,normal,1
121,groundhog,1
122,day,1
123,playground,1
124,prism,1
125,propaganda,1
108,irobot,1
107,head,1
106,precipice,1
105,hang,1
87,guardian,1
88,universe,1
89,unite,1
90,fortune,1
91,favour,1
92,brace,1
93,connectech,1
94,rollercoaster,1
126,little,1
95,emotion,1
97,treasure,1
98,trove,1
99,explore,1
181,dystopian,1
180,growth,1
102,man,1
103,vague,1
104,favorite,1
96,ecosystem,1
86,multicoloure,1
127,thing,1
178,godot,1
152,pawn,1
173,switch,1
154,ride,1
155,bicycle,1
156,balance,1
157,move,1
158,holism,1
159,double,1
160,standard,1
161,shut,1
172,trend,1
163,orange,1
164,oil,1
171,upcoming,1
166,opposite,1
167,web,1
168,juggle,1
151,chess,1
150,human,1
149,silos,1
174,board,1
130,alright,1
131,bud,1
132,grow,1
133,burn,1
177,survivor,1
135,constant,1
136,frenzy,1
137,flurry,1
128,gon,1
176,post-climate,1
140,piece,1
141,fly,1
142,edge,1
143,wow,1
144,uh,1
175,operation,1
146,beacon,1
147,light,1
139,mosaic,1
169,force,1
85,think,1
83,go,1
22,frog,1
23,enjoy,1
24,tree,1
25,dawn,1
26,truman,1
27,futuristic,1
28,twist,1
29,colour,1
30,garden,1
31,city,1
32,needle,1
33,haystack,1
195,job,1
36,learn,1
37,speed,1
193,tangle,1
192,series,1
196,sure,1
40,happiness,1
197,damage,1
18,wilderness,1
1,era,1
2,augment,1
3,virtual,1
4,biological,1
5,exploration,1
6,green,1
7,money,1
8,bee,1
9,hive,1
200,restoration,1
199,main,1
198,reconnecte,1
13,real,1
14,find,1
15,way,1
16,unreal,1
17,loneliness,1
19,limit,1
84,let,1
41,evergreen,1
43,progress,1
65,technicoloure,1
66,static,1
67,shattered,1
68,screen,1
187,fullest,1
186,translation,1
71,unmoored,1
72,diversity,1
64,spiderweb,1
73,beauty,1
75,dancing,1
76,dolphin,1
77,good,1
185,dobara,1
184,milegi,1
183,zindagi,1
182,horizon,1
82,know,1
74,gloss,1
42,state,1
63,want,1
61,make,1
191,resolve,1
45,take,1
46,village,1
47,messy,1
48,mix,1
49,blade,1
50,runner,1
62,decision,1
51,mad,1
53,elysium,1
54,peace,1
55,tranquillity,1
57,boundless,1
189,book,1
188,open,1
60,datum,1
52,max,1
170,past,1
194,tassel,2
190,tapestry,2
0,new,2
101,wait,2
58,sky,2
59,collective,2
165,sunlight,2
35,road,2
78,true,2
34,fork,2
21,forest,2
10,nt,2
100,endless,2
201,hard,2
111,end,2
129,na,2
134,blood,2
138,information,2
145,hope,2
148,people,2
153,power,2
39,need,2
38,time,3
69,ch,3
56,possibility,3
70,change,3
80,box,3
81,chocolate,3
44,water,4
162,work,4
20,like,5
12,live,5
11,world,8
79,life,10
