,Signals,Count
197,world without borders,1
76,global community,1
75,gig economy,1
133,new habits of living,1
72,fusion technology,1
71,frugal living,1
70,free speech,1
69,food technology,1
135,new social norms,1
136,new sources of resources,1
137,new types of businesses,1
131,new forms of currency,1
65,fintech,1
139,new ways of investment,1
140,new ways of measuring progress,1
141,non-nuclear family structures,1
59,drones,1
142,online communities,1
145,plant-based diet,1
56,dissociation of identity,1
55,discrimination,1
149,populist leaders,1
110,inflation,1
64,extended reality,1
52,dependence on technology,1
127,nanotech,1
125,more education,1
104,increased surveillance,1
103,increased social justice,1
102,increased social distrust,1
101,increased self-awareness,1
100,increased protectionism,1
99,increased propaganda,1
114,joblessness,1
97,increased mutual aid,1
119,mass displacement,1
93,increased financialisation,1
126,multiculturalism,1
92,increased equity,1
90,increased democracy,1
120,medtech,1
121,melting polar ice caps,1
123,microplastics in human blood,1
86,increased authoritarianism,1
85,increased apathy,1
124,mixed reality,1
83,inclusivity,1
82,human augmentation,1
81,green buildings,1
91,increased equality,1
51,deforestation,1
150,poverty,1
152,predictive healthcare,1
174,smartphones,1
177,stagnating innovation,1
20,biotech,1
178,stagnating population growth,1
18,aware youths,1
179,supercars,1
181,sustainable food,1
15,attitudes toward education,1
182,synthetic biology,1
13,ageist behaviours,1
151,predictive analytics,1
183,technology ethics,1
184,tightening income gap,1
9,QAnon,1
185,transnational alliances,1
7,Medtech,1
6,Hyperloops,1
187,unequal effects of climate change,1
190,virus outbreaks,1
191,volatile markets,1
195,widening social gap between young and old,1
1,3d printing,1
11,advance in gene research,1
173,smart homes,1
24,changing demographics,1
168,separatism,1
47,decreased innovation,1
46,decreased farming,1
155,racism,1
44,decreased democracy,1
156,radical politics,1
157,reduced waste,1
160,rise in human capital,1
40,decentralised workforce,1
161,rise in talent,1
172,siren servers,1
162,rise in taxes,1
106,increased waste,1
36,culture wars,1
165,robots,1
166,sea water contamination,1
167,selfishness,1
32,concentration of talent,1
31,compressed modernity,1
30,colonisation,1
29,co2 emissions,1
28,climate refugees,1
37,data mining,1
117,machine learning,2
115,liberalisation,2
175,space travel,2
132,new forms of manufacturing,2
153,privacy concerns,2
138,new ways of collaboration,2
98,increased population density,2
49,decreased physical interaction,2
63,environmental degradation,2
73,generational differences,2
61,elitism,2
107,individualisation,2
48,decreased labour force,2
45,decreased energy sources,2
43,decreased collaboration,2
41,decolonisation,2
87,increased citizen engagement,2
88,increased complexity,2
89,increased consumption,2
39,decentralised finance,2
34,counterurbanisation,2
25,changing habits of content consumption,2
23,cancel culture,2
196,world hunger,2
17,autonomous driving,2
5,DAOs,2
94,increased harmony,2
67,flying vehicles,2
66,flexible work,3
176,stagnating growth,3
19,big data,3
50,decreased trust in governments,3
60,electric vehicles,3
180,sustainable energy,3
62,entrenched worldviews,3
14,alternative economic systems,3
108,ineffective world leadership,3
111,information technology,3
112,innovation,3
96,increased mental health,3
95,increased inclusion,3
118,man-made disasters,3
84,increased adoption and reliance on new technology,3
80,great resignation,3
134,new habits of working,4
193,web3,4
186,unequal distribution of power between rich and poor,4
22,blurring of physical and virtual worlds,4
38,decentralisation,4
159,renewable energy,4
128,national identity,4
33,corruption,4
144,pandemic,4
58,diversity,4
143,overpopulation,4
57,distribution of power to people,4
2,AR,5
74,geopolitical tensions,5
4,Communication technology,5
77,global talent crunch,5
8,NFTs,5
54,digital nomad,5
147,political ideologies,5
164,rising temperature,5
129,nationalism,5
68,food security,5
10,access to clean water,6
113,iot,6
0,3d printed food,6
148,pollution,6
154,quantum computing,6
170,shifting global powers,7
188,urbanisation,7
79,globalisation,7
163,rising sea levels,7
171,shifting political powers,7
35,cryptocurrency,8
116,loss of biodiversity,8
26,civil unrest,8
16,automation,8
169,shifting economic powers,8
194,widening income gap,8
130,natural disasters,9
42,decreased birthrate,9
109,inequality,11
158,remote work,12
122,metaverse,16
189,virtual reality,16
105,increased sustainability,18
78,global warming,20
21,blockchain,21
192,war,22
12,ageing population,23
146,polarised views,31
53,depleting resources,33
3,Artificial intelligence,38
27,climate change,144
