,key,value
0,symbiotic,1
491,facetime,1
492,mandatory,1
494,mundane,1
495,labour,1
496,intensive,1
497,bullshit,1
498,redundant,1
499,universally,1
490,digitally,1
500,allowance,1
503,engage,1
505,inspire,1
506,motivate,1
511,corresponding,1
512,crafter,1
513,similarly,1
515,destructure,1
516,algorithm,1
502,liberate,1
518,tedious,1
489,office,1
487,vast,1
462,advance,1
463,scope,1
464,field,1
466,educate,1
467,unable,1
469,centre,1
470,possess,1
471,smart,1
488,database,1
473,fragment,1
476,amount,1
478,re-connect,1
479,upload,1
480,artificially,1
481,brain,1
482,millisecond,1
484,integrator,1
485,integrate,1
474,disperse,1
459,pill,1
520,urgency,1
523,true,1
554,search,1
555,innovative,1
557,lost,1
558,labor,1
559,fight,1
560,ecosystem,1
561,rapid,1
562,prepare,1
552,hour,1
563,cos,1
565,view,1
566,verge,1
567,breakdown,1
568,near,1
569,physical,1
570,accomplish,1
571,enabler,1
572,script,1
564,polarised,1
522,pain,1
551,limit,1
546,blood,1
524,false,1
526,crippling,1
527,corporate,1
528,institution,1
529,willing,1
530,pay,1
531,consultant,1
532,stage,1
547,harvesting,1
534,kinda,1
536,inception,1
537,anxiety,1
538,accelerated,1
539,environmental,1
540,importance,1
541,green,1
542,sustainability,1
545,donate,1
535,movie,1
458,pop,1
457,healthy,1
456,alive,1
381,bold,1
764,utilization,1
384,behavior,1
385,moderate,1
386,sea,1
388,natural,1
392,instead,1
393,mitigate,1
380,avenue,1
394,assimilate,1
396,catastrophe,1
397,frequent,1
398,localised,1
399,obsess,1
400,ux,1
401,sorry,1
402,nt,1
403,cognitive,1
395,complete,1
404,bandwidth,1
379,channel,1
377,verse,1
356,able,1
357,pull,1
358,weight,1
359,welcome,1
360,tough,1
361,necessary,1
362,calculate,1
363,oversee,1
378,main,1
364,operational,1
367,efficiency,1
368,harmony,1
370,exploit,1
371,leverage,1
372,tool,1
374,well-being,1
375,survival,1
376,meta,1
366,productivity,1
405,curious,1
406,end,1
407,excuse,1
434,apply,1
435,stable,1
436,navigate,1
438,backend,1
439,interconnect,1
441,neatly,1
442,simply,1
443,multi-taske,1
433,important,1
444,ezpz,1
446,practise,1
447,super,1
448,good,1
449,float,1
451,supply,1
452,carefully-balanced,1
453,air,1
455,stay,1
445,occur,1
432,treat,1
431,seriously,1
429,later,1
408,lazy,1
409,thinking,1
410,struggle,1
411,self,1
412,coach,1
413,helps,1
414,unpack,1
415,stuff,1
416,offer,1
417,maximise,1
418,em,1
419,curation,1
420,neglect,1
423,invisible,1
424,consequence,1
425,immediately,1
426,obvious,1
427,eye,1
428,80,1
573,normally,1
355,economy,1
575,nomad,1
577,sound,1
702,direct,1
703,slightly,1
704,major,1
705,constant,1
706,key,1
707,objective,1
708,line,1
709,check,1
701,uncontrollable,1
710,manager,1
712,adhere,1
713,penetration,1
714,rate,1
715,exacerbation,1
716,env,1
717,interest,1
718,policy,1
719,enterprise,1
711,schedule,1
720,advocacy,1
700,riot,1
698,fail,1
679,differ,1
680,opinion,1
681,exponential,1
682,idk,1
683,desensitisation,1
684,concious,1
685,manifold,1
687,context,1
699,protest,1
688,anamolie,1
690,outcome,1
691,easily,1
692,available,1
693,look,1
694,interconnectedness,1
695,barrier,1
696,project,1
697,disciplined,1
689,generate,1
678,fragmentation,1
721,size,1
723,outrage,1
746,hit,1
747,famine,1
748,prioritise,1
749,civic,1
750,discontentment,1
751,agent,1
752,broker,1
753,self-organised,1
745,2000,1
754,agitate,1
756,coordinator,1
757,align,1
758,allegiance,1
759,share,1
760,allocate,1
761,restore,1
762,connectedness,1
763,fraught,1
755,priority,1
722,strength,1
744,wealth,1
742,decrease,1
724,action,1
725,global,1
726,leader,1
727,robot,1
728,animal,1
729,biased,1
730,bring,1
731,orientation,1
743,proliferation,1
732,relevant,1
734,iot,1
735,nft,1
736,technical,1
737,ethical,1
738,holistically,1
739,isolated,1
740,dependence,1
741,sadly,1
733,xr,1
677,standard,1
676,high,1
675,opportunity,1
605,try,1
606,body,1
607,rotate,1
608,weather,1
609,accordingly,1
610,constrain,1
611,well,1
612,accept,1
603,feature,1
613,consider,1
616,engagement,1
617,mindset,1
618,equal,1
619,standing,1
622,reach,1
623,truly,1
624,formulate,1
625,equality,1
615,expetise,1
626,equity,1
602,additional,1
600,sure,1
578,cool,1
579,normal,1
580,resentment,1
581,leadership,1
582,general,1
583,apathy,1
584,tired,1
585,follow,1
601,mimic,1
587,impose,1
589,attend,1
590,class,1
591,matter,1
592,outside,1
593,school,1
594,80:20,1
595,split,1
599,bridge,1
588,student,1
627,facilitator,1
628,coordinate,1
629,meeting,1
655,emotion,1
656,research,1
657,preserve,1
658,elevate,1
659,experience,1
661,person,1
662,analyze,1
663,ethically,1
654,transcending,1
664,legally,1
667,fact,1
668,interpersonal,1
669,dimension,1
670,attempt,1
671,pre-engineer,1
672,risk,1
673,dire,1
674,income,1
665,advice,1
653,culture,1
652,reflect,1
651,vehicle,1
630,usher,1
631,unique,1
632,common,1
633,goal,1
634,dictate,1
635,consumption,1
636,low,1
637,possible,1
638,usage,1
639,skilled,1
640,source,1
641,fresh,1
642,produce,1
643,limited,1
644,reduce,1
645,number,1
648,smell,1
649,form,1
650,sustenance,1
576,educator,1
354,contribution,1
382,avatar,1
352,term,1
177,develop,1
174,downstream,1
173,capacity,1
171,address,1
169,basic,1
168,accord,1
167,personalise,1
166,customise,1
164,interception,1
161,idea,1
160,arrive,1
157,buyer,1
156,shipment,1
155,track,1
154,material,1
153,raw,1
152,rare,1
151,discussion,1
149,advisor,1
148,land,1
144,base,1
142,listen,1
139,profession,1
138,output,1
137,minimal,1
136,achieve,1
131,innovation,1
178,approach,1
181,upstream,1
182,evergreen,1
185,widely,1
241,revolutionary,1
240,screen,1
239,flat,1
238,move,1
235,comfortable,1
233,rely,1
232,survive,1
231,sufficient,1
229,convenience,1
228,irrational,1
227,compromise,1
225,balance,1
224,enigma,1
127,concentrate,1
221,relationship,1
211,quantum,1
209,fusion,1
208,evolution,1
206,corrective,1
205,resilient,1
204,urban,1
203,effective,1
200,recalibrate,1
198,career,1
197,growth,1
190,overwhelmed,1
189,affordable,1
188,headset,1
220,people-people-machine,1
123,advantage,1
120,course,1
119,provide,1
67,customisation,1
61,die,1
57,consciousness,1
56,expand,1
55,expound,1
52,decent,1
50,hard,1
47,pollution,1
46,waste,1
45,overwhelming,1
42,water,1
41,e.g.,1
40,deplete,1
68,meet,1
37,deteriorate,1
29,ml,1
26,cursory,1
25,manifestation,1
23,presentation,1
22,communication,1
20,autonomous,1
19,fully,1
14,override,1
10,empathetic,1
9,guide,1
7,lexical,1
5,anymore,1
1,integration,1
36,party,1
244,outspoken,1
70,communal,1
73,close,1
116,nudge,1
115,psychology,1
114,behavioural,1
109,agency,1
106,press,1
104,conflict,1
101,emission,1
100,cut,1
99,effectively,1
95,scenario,1
94,doomsday,1
93,escape,1
92,demographic,1
71,collective,1
91,unrest,1
87,improve,1
86,recreate,1
84,creative,1
83,seperate,1
82,joy,1
81,adaptive,1
80,kind,1
79,thrive,1
78,previously,1
77,competition,1
76,prevail,1
75,collaboration,1
74,integeation,1
89,leave,1
245,govern,1
191,snd,1
765,non-human,1
288,century,1
287,rational,1
285,right,1
284,oracle,1
282,imagine,1
281,desire,1
327,hahahaha,1
279,incredible,1
278,practical,1
277,outsource,1
276,anew,1
275,rebuild,1
310,digitalisation,1
274,impetus,1
272,partial,1
271,essential,1
329,guardian,1
330,mother,1
270,info,1
269,dissemination,1
268,spread,1
334,recognition,1
267,enable,1
266,central,1
337,type,1
290,country,1
338,disparity,1
325,alright,1
324,oh,1
308,fast,1
307,current,1
306,old,1
311,exposure,1
312,gain,1
305,feasible,1
313,ability,1
304,impossible,1
315,competency,1
316,innovate,1
317,harness,1
302,methodology,1
301,sequence,1
300,dna,1
299,introduction,1
298,tie,1
319,bioinformatics,1
297,surround,1
320,fake,1
321,news,1
296,navigation,1
322,misinformation,1
323,meld,1
248,participation,1
292,teacher,1
291,cohesive,1
264,ego,1
309,compute,1
262,fantasy,1
351,judge,1
249,travel,1
250,fluid,1
350,position,1
349,hold,1
348,race,1
347,ahead,1
346,player,1
254,attuned,1
344,funding,1
343,assume,1
257,herd,1
259,folk,1
341,liveable,1
340,effort,1
258,minded,1
342,play,2
124,2100,2
501,basis,2
128,build,2
256,naturally,2
391,regularly,2
295,require,2
686,possibility,2
550,public,2
468,access,2
421,seemingly,2
548,communicate,2
621,inequality,2
422,slow,2
293,complexity,2
387,result,2
141,facilitate,2
533,intervention,2
614,perspective,2
507,vocation,2
339,bad,2
72,living,2
146,production,2
620,benefit,2
472,organisation,2
121,mean,2
454,breathe,2
666,relate,2
97,collectively,2
98,direction,2
38,lot,2
483,study,2
202,remain,2
