Big themes (5 only),Themes,Signals,Count
A New World Order,Changing economic systems,alternative economic systems,3
A New World Order,Changing economic systems,liberalisation,2
A New World Order,Changing economic systems,new forms of currency,1
A New World Order,Changing economic systems,new types of businesses,1
A New World Order,Changing economic systems,new ways of investment,1
A New World Order,Changing economic systems,rise in human capital,1
A New World Order,Changing economic systems,rise in talent,1
A New World Order,Changing economic systems,rise in taxes,1
A New World Order,Changing economic systems,fintech,1
A New World Order,Changing economic systems,stagnating growth,3
A New World Order,Changing economic systems,volatile markets,1
A New World Order,Changing economic systems,inflation,1
A New World Order,Conflict,civil unrest,8
A New World Order,Conflict,corruption,4
A New World Order,Conflict,culture wars,1
A New World Order,Conflict,war,22
A New World Order,Equality & Equity,increased equality,1
A New World Order,Equality & Equity,increased equity,1
A New World Order,Equality & Equity,unequal distribution of power between rich and poor,4
A New World Order,Equality & Equity,inequality,11
A New World Order,Equality & Equity,poverty,1
A New World Order,Equality & Equity,tightening income gap,1
A New World Order,Equality & Equity,widening income gap,8
A New World Order,Equality & Equity,world hunger,1
A New World Order,Ethics,technology ethics,1
A New World Order,Globalisation,global community,1
A New World Order,Globalisation,globalisation,7
A New World Order,Globalisation,increased protectionism,1
A New World Order,Human health,pandemic,4
A New World Order,Human health,predictive healthcare,1
A New World Order,Human health,medtech,1
A New World Order,Human health,microplastics in human blood,1
A New World Order,Human health,virus outbreaks,1
A New World Order,Shifting powers,colonisation,1
A New World Order,Shifting powers,decolonisation,2
A New World Order,Shifting powers,geopolitical tensions,5
A New World Order,Shifting powers,increased authoritarianism,1
A New World Order,Shifting powers,shifting global powers,7
A New World Order,Shifting powers,shifting political powers,7
A New World Order,Shifting powers,shifting economic powers,8
A New World Order,Shifting powers,transnational alliances,1
A New World Order,Shifting powers,populist leaders,1
New Ways of Living,Decentralisation & democratisation,blockchain,21
New Ways of Living,Decentralisation & democratisation,cryptocurrency,8
New Ways of Living,Decentralisation & democratisation,DAOs,2
New Ways of Living,Decentralisation & democratisation,decentralisation,4
New Ways of Living,Decentralisation & democratisation,decentralised finance,2
New Ways of Living,Decentralisation & democratisation,decentralised workforce,1
New Ways of Living,Decentralisation & democratisation,distribution of power to people,4
New Ways of Living,Decentralisation & democratisation,increased democracy,1
New Ways of Living,Decentralisation & democratisation,NFTs,5
New Ways of Living,Decentralisation & democratisation,web3,4
New Ways of Living,Decentralisation & democratisation,world without borders,1
New Ways of Living,Different realities,blurring of physical and virtual worlds,4
New Ways of Living,Different realities,AR,5
New Ways of Living,Different realities,virtual reality,16
New Ways of Living,Different realities,extended reality,1
New Ways of Living,Different realities,metaverse,16
